X = [0.600000 0.900000;0.660000 0.905000],                 SINR = -21.001901
X = [0.690000 0.950000;0.600000 0.799000],                 SINR = -20.006324
X = [0.900000 0.900000;0.468000 0.758000],                 SINR = -19.006746
X = [0.900000 0.900000;0.392000 0.690000],                 SINR = -18.002573
X = [0.900000 0.900000;0.300000 0.641000],                 SINR = -17.008141
X = [0.900000 0.900000;0.290000 0.560000],                 SINR = -16.006351
X = [0.930000 0.900000;0.250000 0.503000],                 SINR = -15.000493
X = [0.930000 0.900000;0.260000 0.428000],                 SINR = -14.003373
X = [0.930000 0.900000;0.200000 0.399000],                 SINR = -13.003290
X = [0.930000 0.900000;0.151000 0.368000],                 SINR = -12.003126
X = [0.930000 0.900000;0.146000 0.323000],                 SINR = -11.001827
X = [0.970000 0.930000;0.147000 0.280000],                 SINR = -10.009915
X = [0.970000 0.930000;0.141000 0.244000],                 SINR = -9.008659
X = [0.800000 0.700000;0.100000 0.230000],                 SINR = -8.004166
X = [0.800000 0.700000;0.100000 0.200000],                 SINR = -7.007360
X = [0.800000 0.700000;0.100500 0.172000],                 SINR = -6.003841
X = [0.800000 0.700000;0.090000 0.153000],                 SINR = -5.002006
X = [0.700000 0.600000;0.079000 0.137000],                 SINR = -4.009035
X = [0.700000 0.470000;0.070000 0.122000],                 SINR = -3.001147
X = [0.700000 0.470000;0.070000 0.104000],                 SINR = -2.001427
X = [0.700000 0.470000;0.059000 0.095000],                 SINR = -1.009191
X = [0.700000 0.900000;0.049000 0.087000],                 SINR = -0.001345
X = [0.700000 0.900000;0.041000 0.079000],                 SINR = 0.997259
X = [0.700000 0.900000;0.037300 0.070000],                 SINR = 1.998210
X = [0.700000 0.900000;0.030000 0.064000],                 SINR = 2.999383
X = [0.890000 0.970000;0.029000 0.056000],                 SINR = 3.994471
X = [0.490000 0.599000;0.025000 0.050000],                 SINR = 4.999775
X = [0.890000 0.980000;0.020000 0.045900],                 SINR = 5.998938
X = [0.890000 0.980000;0.019000 0.040380],                 SINR = 6.998252



[0.627896379614169,0.932853570278820;0.771980385554245,0.972740854003014]
